,class_name,class_description,domain_name,domain_label,domain_description,field_core,field_definition,field_implementationNotes,field_label,field_mappingInstructions,field_name,field_ordinal,field_prompt,field_questionText,field_simpleDatatype,field_codelistSubmissionValues
0,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",HR,A unique identifier for a study.,"Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or in the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission.",Study Identifier,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,STUDYID,1,[Protocol/Study],What is the study identifier?,Char,
1,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",HR,A unique identifier for a site within a study.,"Paper: This is typically preprinted in the header of each CRF page for single site studies. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be preprinted on CRFs that are shipped to each site. EDC: This should be prepopulated.",Study Site Identifier,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,SITEID,2,Site (Identifier),What is the site identifier?,Char,
2,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",HR,A unique subject identifier within a site and a study.,"Paper: This is typically recorded in the header of each CRF page. EDC: The subject identifiers may be system generated. This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTM DM domain. For more information, refer to the SDTMIG.",Subject Identifier for the Study,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,SUBJID,3,[Subject/Participant] (Identifier),What [is/was] the (study) [subject/participant] identifier?,Char,
3,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,A grouping of topic-variable values based on user-defined characteristics.,"Sponsor-defined controlled terminology. This would most commonly be either a heading or a preprinted category value on the CRF, not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Category"" can be included as the column header.",Category for Agent,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGCAT,4,Procedure Agent Category; NULL,What is the category for the [procedure/assessment agent]?,Char,
4,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,A sub-division of the AGCAT values based on user-defined characteristics.,Sponsor-defined controlled terminology. This would most commonly be preprinted on the CRF or screen and prepopulated in the data management system. This is not typically a question to which the site would provide an answer.,Subcategory for Agent,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGSCAT,5,Procedure Agent Subcategory; NULL,What is the subcategory for the [procedure/assessment agent]?,Char,
5,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,An indication of whether any procedure/assessment agent(s) were administered.,The intent/purpose of collecting this field is to help with data cleaning and monitoring. It provides verification that all other fields on the CRF were deliberately left blank.,Any Procedure Agent Taken,Does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.,AGYN,6,Any procedure agents,[Were/Was] there any [procedure/assessment agent(s)] taken/administered?,Char,['NY']
6,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,"A sponsor-defined identifier. In CDASH, this is typically used for preprinted or auto-generated numbers on the CRF, or any other type of identifier that does not already have a defined CDASH identifier field.","Because SPID is a sponsor-defined identifier, conformance to Question Text or Item Prompt is not applicable. Typically used as an identifier in a data query to communicate clearly to the site the specific record in question or to reconcile procedure agent records with AEs and/or MH. May be used to record preprinted number (e.g., line number, record number) on the CRF. This field may be populated by the sponsor's data collection system.",AG Sponsor-Defined Identifier,Maps directly to the SDTMIG variable listed in the SDTMIG Target column. May be used to create RELREC to link this record with a record in another domain.,AGSPID,7,[Sponsor defined],[Sponsor defined question],Char,
7,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",HR,Verbatim name of procedure/assessment agent administered.,"In most cases, the verbatim drug names or treatment will be coded to a standard dictionary (e.g., WHODrug) after the data have been collected on the CRF. For the collection of verbatim procedure agents, the recommendation is to ask sites to provide the full trade or proprietary name since it is more exact than the generic. The full trade name provides the base generic and the appropriate salt for that particular drug. In addition, for coding purposes it helps with ATC classification system code selection. For example, Tylenol with codeine #1 has a different ATC code than Tylenol with codeine #3.",Reported Agent Name,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGTRT,8,[Procedure/Assessment Agent],What was the [procedure/assessment agent] [name/term]?,Char,
8,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,An indication that a specific procedure/assessment agent or group of agents is prespecified on a CRF.,"For prespecified interventions, a hidden field on a CRF defaulted to ""Y"", or added during the SDTM dataset creation. If a study collects both prespecified and free-text interventions, the value of AGPRESP should be ""Y"" for all prespecified interventions and null for interventions reported as free text.",AG Prespecified,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGPRESP,9,,,Char,['NY']
9,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,An indication whether the given procedure/assessment agent or group of agents was administered when information about the occurrence of a specific procedure/assessment agent is solicited.,AGOCCUR is used to report the occurrence of a prespecified procedure agent. AGOCCUR is not used for spontaneously free-text reported procedure agent(s). The site should be able to indicate that the response was not asked or answered.,AG Occurrence,"Maps directly to the SDTMIG variable listed in the SDTMIG Target column. If the response was not asked or answered, populate the SDTMIG variable AGSTAT with ""NOT DONE"".",AGOCCUR,10,[AGTRT],[Has/Was] the subject (been) administered the [procedure/assessment agent]?,Char,['NY']
