"sub_section_nm","sub_sec_desc","sec_field_title","section_description","section_enum","sec_field_order","section_cycle","is_not_applicable","sec_field_id"
Comments,Comments,Eligibility Assessments,Main ICF,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",277,,false,"16d9ec2c-b108-4e6b-9a7c-3b5b6b940747"
Comments,Comments,Eligibility Assessments,Eligibility Assessment,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",278,,false,"0ef24e7c-7e8e-48f8-8e0d-25f510d3b529"
Comments,Comments,Eligibility Assessments,Demographics,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",279,,false,"1be74dd1-8d91-44ef-b4f5-dbb3ddbee3fa"
Comments,Comments,Eligibility Assessments,Medical History,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",280,,false,d30786b0-d9c5-4cef-9c0d-861f38cb7a57
Comments,Comments,Safety Assessments,Height,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": "" A full physical examination including an examination of all major body systems and breasts, height (at screening\nonly), weight, blood pressure and pulse rate, which may be performed by a physician, registered nurse or other qualified health care provider.""}], ""required"": false}]}",281,,false,"5719b291-040b-4e66-ae7e-889905e3cb8b"
Comments,Comments,Safety Assessments,Weight,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": "" A full physical examination including an examination of all major body systems and breasts, height (at screening\nonly), weight, blood pressure and pulse rate, which may be performed by a physician, registered nurse or other qualified health care provider.""}], ""required"": false}]}",282,,false,"15506a77-107f-4496-b5ab-52040fc6f476"
Comments,Comments,Safety Assessments,Physical Exam,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""A full physical examination including an examination of all major body systems and breasts, height (at screening\nonly), weight, blood pressure and pulse rate, which may be performed by a physician, registered nurse or other qualified health care provider.""}], ""required"": false}]}",283,,false,ec79e03d-245b-4596-8229-0c0e763bf406
Comments,Comments,Safety Assessments,Vital Signs,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": "" A full physical examination including an examination of all major body systems and breasts, height (at screening\nonly), weight, blood pressure and pulse rate, which may be performed by a physician, registered nurse or other qualified health care provider.""}], ""required"": false}]}",284,,false,"2dc3ee75-fa5f-420d-982d-b0f2622fa90e"
Comments,Comments,Safety Assessments,"12-lead ECG","{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",285,,true,"23f5c542-f7ac-45e5-a562-4454b12c65e7"
Comments,Comments,Safety Assessments,ECHO/MUGA,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",286,,true,"0d9b2fca-2d37-4439-b6e7-20e96efd6c20"
