To generate the final output specification for the electronic data capture (EDC) system, we need to organize the activities and their respective visits based on the provided data.

From the Schedule of Activities (SOA) file【5†source】, we have the following visit schedule:

- Screening (SCR) occurs between days -28 and -1.
- Treatment visits are structured around cycles (Cycle 1, Day 1, Cycle 2, Day 15, etc.).
- Follow-up visits (e.g., Follow-Up 1, Follow-Up 2) occur post-treatment with specific windows.

Using the inputs from the extracted visits and the mapping between activities and eCRF forms, we can map out the activities and which visit they belong to. The output specification will follow the template provided, which includes various columns representing visits like Screening, Dose, Week 2, Week 4, etc.

### **Final Output Specification**

| **Name**                              | **Main Timeline** | **name** | **SCR 1** | **SCR 2** | **Cycle 1, Day 1** | **Cycle 1, Day 15** | **Cycle 2, Day 1** | **Cycle 2, Day 15** | **Cycle 3, Day 1** | **Cycle 4, Day 1** | **End of Treatment (EOT)** | **Follow-Up 1** | **Follow-Up 2** |
|---------------------------------------|-------------------|----------|-----------|-----------|--------------------|---------------------|--------------------|---------------------|--------------------|--------------------|----------------------------|----------------|----------------|
| **Description**                       | **This is the main timeline for the study design.** |          |                   |                   |                    |                     |                    |                     |                    |                    |                            |                |                |
| **Label**                             |                   |          | SCR       | SCR       | Day 1              | Day 15              | Day 1              | Day 15              | Day 1              | Day 1              | EOT                        | FU 1           | FU 2           |
| **Type**                              |                   |          | Visit     | Visit     | Visit              | Visit               | Visit              | Visit               | Visit              | Visit              | Visit                      | Visit          | Visit          |
| **Eligibility Assessment**            |                   | **IE**   | X         | X         | -                  | -                   | -                  | -                   | -                  | -                  | -                          | -              | -              |
| **Demographics**                      |                   | **DM**   | X         | -         | -                  | -                   | -                  | -                   | -                  | -                  | -                          | -              | -              |
| **Medical History**                   |                   | **MH**   | X         | X         | -                  | -                   | -                  | -                   | -                  | -                  | -                          | -              | -              |
| **Physical Exam**                     |                   | **PE**   | X         | -         | X                  | -                   | X                  | -                   | X                  | -                  | X                          | -              | -              |
| **Vital Signs**                       |                   | **VS**   | X         | X         | X                  | -                   | X                  | -                   | X                  | -                  | X                          | X              | X              |
| **12-lead ECG**                       |                   | **EG**   | X         | -         | X                  | -                   | -                  | -                   | -                  | -                  | -                          | -              | -              |
| **Ophthalmologic Assessments**        |                   | **OE**   | X         | -         | -                  | -                   | -                  | -                   | X                  | -                  | -                          | -              | -              |
| **Adverse Events (AEs/SAEs)**          |                   | **AE/SA**| X         | X         | X                  | X                   | X                  | X                   | X                  | X                  | X                          | X              | X              |
| **Prior/Concomitant Therapies**       |                   | **CM**   | -         | -         | X                  | X                   | X                  | X                   | -                  | -                  | X                          | -              | -              |
| **Hematology & Chemistry**            |                   | **LB**   | -         | -         | X                  | X                   | X                  | X                   | X                  | -                  | X                          | -              | -              |
| **Pregnancy Test**                    |                   | **LB**   | X         | -         | X                  | -                   | -                  | -                   | -                  | -                  | -                          | -              | -              |
| **Blood for PK**                      |                   | **PC**   | X         | -         | -                  | -                   | -                  | -                   | -                  | -                  | -                          | -              | -              |
| **Radiographic Tumor Assessment**     |                   | **RS/TR**| X         | -         | -                  | -                   | -                  | -                   | -                  | -                  | -                          | -              | -              |
| **Survival Follow-Up**                |                   | **DS**   | -         | -         | -                  | -                   | -                  | -                   | -                  | -                  | -                          | X              | X              |
| **Trial Intervention**                |                   | **EX**   | -         | -         | X                  | -                   | X                  | -                   | X                  | -                  | -                          | -              | -              |

This table shows the activities mapped to their corresponding visits based on the data extracted from the SOA document and aligned with the provided inputs for visits and activities. Each activity is associated with its relevant eCRF form reference, and the visits are adjusted to match the extracted SOA visit schedule.
