Form RefName | Form Label | Form Description
AG | Procedure Agents | An interventions domain that contains the agents administered to the subject as part of a procedure or assessment, as opposed to drugs, medications and therapies administered with therapeutic intent. (Source: CDISC Controlled Terminology, DOMAIN, C117755, 2023-6-28)
CM | Concomitant/Prior Medications | An interventions domain that contains concomitant and prior medications used by the subject, such as those given on an as needed basis or condition-appropriate medications. (Source: CDISC Controlled Terminology, DOMAIN, C49568, 2023-6-28)
EC | Exposure as Collected | An interventions domain that contains information about protocol-specified study treatment administrations, as collected. (Source: CDISC Controlled Terminology, DOMAIN, C117466, 2023-6-28)
EX | Exposure | An interventions domain that contains the details of a subject's exposure to protocol-specified study treatment. Study treatment may be any intervention that is prospectively defined as a test material within a study, and is typically but not always supplied to the subject. (Source: CDISC Controlled Terminology, DOMAIN, C49587, 2023-6-28)
ML | Meal Data | An interventions domain that contains information describing a subject's food product consumption. (Source: CDISC Controlled Terminology, DOMAIN, C49604, 2023-6-28)
PR | Procedures | An interventions domain that contains interventional activity intended to have diagnostic, preventive, therapeutic, or palliative effects. (Source: CDISC Controlled Terminology, DOMAIN, C102700, 2023-6-28)
SU | Substance Use | An interventions domain that contains substance use information that may be used to assess the efficacy and/or safety of therapies that look to mitigate the effects of chronic substance use. (Source: CDISC Controlled Terminology, DOMAIN, C49615, 2023-6-28)
AE | Adverse Events | An events domain that contains data describing untoward medical occurrences in a patient or subjects that are administered a pharmaceutical product and which may not necessarily have a causal relationship with the treatment. (Source: CDISC Controlled Terminology, DOMAIN, C49562, 2023-6-28)
CE | Clinical Events | An events domain that contains clinical events of interest that would not be classified as adverse events. (Source: CDISC Controlled Terminology, DOMAIN, C85441, 2023-6-28)
DS | Disposition | An events domain that contains information encompassing and representing data related to subject disposition. (Source: CDISC Controlled Terminology, DOMAIN, C49576, 2023-6-28)
DV | Protocol Deviations | An events domain that contains protocol violations and deviations during the course of the study. (Source: CDISC Controlled Terminology, DOMAIN, C49585, 2023-6-28)
HO | Healthcare Encounters | A events domain that contains data for inpatient and outpatient healthcare events (e.g., hospitalization, nursing home stay, rehabilitation facility stay, ambulatory surgery). (Source: CDISC Controlled Terminology, DOMAIN, C117757, 2023-6-28)
MH | Medical History | An events domain that contains data that includes the subject's prior medical history at the start of the trial. (Source: CDISC Controlled Terminology, DOMAIN, C49603, 2023-6-28)
SA | Serious Adverse Events | An events domain that contains data describing untoward medical occurrences considered serious (SAE) in a patient or subjects that are administered a pharmaceutical product and which may not necessarily have a causal relationship with the treatment. (Source: CDISC Controlled Terminology, DOMAIN, C177945, 2023-6-28)
CP | Cell Phenotype Findings | A findings domain that contains data related to the characterization of cell phenotype, lineage, and function based on expression of specific markers in single cell or particle suspensions. (Source: CDISC Controlled Terminology, DOMAIN, C181319, 2023-6-28)
CV | Cardiovascular System Findings | A findings domain that contains physiological and morphological findings related to the cardiovascular system, including the heart, blood vessels and lymphatic vessels. (Source: CDISC Controlled Terminology, DOMAIN, C102605, 2023-6-28)
DA | Product Accountability | A findings domain that contains the accountability of study product, such as information on the receipt, dispensing, return, and packaging. (Source: CDISC Controlled Terminology, DOMAIN, C49578, 2023-6-28)
DD | Death Details | A findings domain that contains the diagnosis of the cause of death for a subject. (Source: CDISC Controlled Terminology, DOMAIN, C95087, 2023-6-28)
EG | ECG Test Results | A findings domain that contains ECG data, including position of the subject, method of evaluation, all cycle measurements and all findings from the ECG including an overall interpretation if collected or derived. (Source: CDISC Controlled Terminology, DOMAIN, C49626, 2023-6-28)
GF | Genomics Findings | A findings domain that contains data related to the structure, function, evolution, mapping, and editing of subject and non-host organism genomic material of interest. This domain includes but is not limited to assessments and results for genetic variation and transcription, and summary measures derived from these assessments. The GF domain is used for findings from characteristics assessed from nucleic acids and may include subsequent inferences and/or predictions about related proteins/amino acids. (Source: CDISC Controlled Terminology, DOMAIN, C181320, 2023-6-28)
IE | Inclusion/Exclusion Criteria Not Met | A findings domain that contains those criteria that cause the subject to be in violation of the inclusion/exclusion criteria. (Source: CDISC Controlled Terminology, DOMAIN, C61536, 2023-6-28)
LB | Laboratory Test Results | A findings domain that contains laboratory test data such as hematology, clinical chemistry and urinalysis. This domain does not include microbiology or pharmacokinetic data, which are stored in separate domains. (Source: CDISC Controlled Terminology, DOMAIN, C49592, 2023-6-28)
MB | Microbiology Specimen | A findings domain that represents non-host organisms identified including bacteria, viruses, parasites, protozoa and fungi. (Source: CDISC Controlled Terminology, DOMAIN, C49602, 2023-6-28)
MI | Microscopic Findings | A findings domain that contains histopathology findings and microscopic evaluations. (Source: CDISC Controlled Terminology, DOMAIN, C95095, 2023-6-28)
MK | Musculoskeletal System Findings | A findings domain that contains physiological and morphological findings related to the system of muscles, tendons, ligaments, bones, joints, and associated tissues. (Source: CDISC Controlled Terminology, DOMAIN, C102674, 2023-6-28)
MS | Microbiology Susceptibility | A findings domain that represents drug susceptibility testing results only. This includes phenotypic testing (where drug is added directly to a culture of organisms) and genotypic tests that provide results in terms of susceptible or resistant. Drug susceptibility testing may occur on a wide variety of non-host organisms, including bacteria, viruses, fungi, protozoa and parasites. (Source: CDISC Controlled Terminology, DOMAIN, C61531, 2023-6-28)
NV | Nervous System Findings | A findings domain that contains physiological and morphological findings related to the nervous system, including the brain, spinal cord, the cranial and spinal nerves, autonomic ganglia and plexuses. (Source: CDISC Controlled Terminology, DOMAIN, C102677, 2023-6-28)
OE | Ophthalmic Examinations | A findings domain that contains tests that measure a person's ocular health and visual status, to detect abnormalities in the components of the visual system, and to determine how well the person can see. (Source: CDISC Controlled Terminology, DOMAIN, C147180, 2023-6-28)
PC | Pharmacokinetics Concentrations | A findings domain that contains concentrations of drugs or metabolites in fluids or tissues as a function of time. (Source: CDISC Controlled Terminology, DOMAIN, C49606, 2023-6-28)
PE | Physical Examination | A findings domain that contains findings observed during a physical examination where the body is evaluated by inspection, palpation, percussion, and auscultation. (Source: CDISC Controlled Terminology, DOMAIN, C49608, 2023-6-28)
RE | Respiratory System Findings | A findings domain that contains physiological and morphological findings related to the respiratory system, including the organs that are involved in breathing such as the nose, throat, larynx, trachea, bronchi and lungs. (Source: CDISC Controlled Terminology, DOMAIN, C95098, 2023-6-28)
RP | Reproductive System Findings | A findings domain that contains physiological and morphological findings related to the male and female reproductive systems. (Source: CDISC Controlled Terminology, DOMAIN, C102707, 2023-6-28)
RS | Disease Response and Clin Classification | A findings domain for the assessment of disease response to therapy, or clinical classification based on published criteria. (Source: CDISC Controlled Terminology, DOMAIN, C107097, 2023-6-28)
SC | Subject Characteristics | A findings domain that contains subject-related data not collected in other domains. (Source: CDISC Controlled Terminology, DOMAIN, C49610, 2023-6-28)
TR | Tumor/Lesion Results | A findings domain that represents quantitative measurements and/or qualitative assessments of the tumors, lesions, or locations of interest identified in the Tumor/Lesion Identification (TU) domain. (Source: CDISC Controlled Terminology, DOMAIN, C106578, 2023-6-28)
TU | Tumor/Lesion Identification | A findings domain that represents data that uniquely identifies tumors, lesions, or locations of interest under study. (Source: CDISC Controlled Terminology, DOMAIN, C106577, 2023-6-28)
UR | Urinary System Findings | A findings domain that contains physiological and morphological findings related to the urinary tract, including the organs involved in the creation and excretion of urine such as the kidneys, ureters, bladder and urethra. (Source: CDISC Controlled Terminology, DOMAIN, C102726, 2023-6-28)
VS | Vital Signs | A findings domain that contains measurements including but not limited to blood pressure, temperature, respiration, body surface area, body mass index, height and weight. (Source: CDISC Controlled Terminology, DOMAIN, C49622, 2023-6-28)
FA | Findings About Events or Interventions | A findings domain that contains the findings about an event or intervention that cannot be represented within an events or interventions domain record or as a supplemental qualifier. (Source: CDISC Controlled Terminology, DOMAIN, C85442, 2023-6-28)
SR | Skin Response | A findings about domain for submitting dermal responses to antigens. (Source: CDISC Controlled Terminology, DOMAIN, C112420, 2023-6-28)
CO | Comments | A special-purpose domain that contains comments that may be collected alongside other data. (Source: CDISC Controlled Terminology, DOMAIN, C49569, 2023-6-28)
